SrcDatabase-来源库	Title-题名	Author-作者	Organ-单位	Source-文献来源	Keyword-关键词	Summary-摘要	Year-年
硕士	李东垣治疗月经后期的思想研究	涂文文	江西中医药大学	江西中医药大学			2024
硕士	李东垣《脾胃论》双向调治法及其运用研究	马春霞	江西中医药大学	江西中医药大学			2024
硕士	基于“脾胃升降”理论以李东垣半夏白术天麻汤加减治疗原发性高血压（痰浊上扰证）的临床疗效观察	杨小娟	天津中医药大学	天津中医药大学	原发性高血压;;眩晕;;脾胃升降;;痰浊上扰;;李东垣半夏白术天麻汤	目的:基于“脾胃升降”理论运用李东垣半夏白术天麻汤加减治疗原发性高血压(痰浊上扰证)患者,观察患者血压及相关指标的变化,评估其有效性及安全性,分析机理,为临床治疗高血压病提供新的思路,为李东垣半夏白术天麻汤的临床应用与推广提供理论依据。方法:收取2021年09月至2022年12月就诊于天津中医药大学第二附属医院心血管病区的符合高血压病痰浊上扰证诊断的患者82例,采用1:1随机数字表进行分组,分为试验组和对照组各41例。对照组患者予以苯磺酸氨氯地平片进行治疗,试验组患者在对照组的基础上加服中药汤剂李东垣半夏白术天麻汤加减进行治疗,疗程为4周。观察指标包括:诊室血压、24h动态血压、实验室指标(TC、TG、HDL-C、LDL-C、HCY、CRP、UA)、超声心动图指标(LVEDD、LVPWT、IVST)、中医症状单项积分、中医证候总积分。运用SPSS26.0统计软件进行数据分析处理。结果:1.两组基线资料比较:治疗前,对两组患者的性别、年龄、病程、吸烟史、饮酒史、诊室血压、24h动态血压、实验室指标(TC、TG、HDL-C、LDL-C、HCY、CRP、UA)、超声心动图指标(LVEDD、LVPWT、IVST)、中医症状单项积分、中医证候总积分等方面进行统计学比较,差异无统计学意义(P>0.05),具有可比性。2.诊室血压:治疗后两组患者收缩压和舒张压水平较治疗前均明显下降(P<0.01),试验组下降较对照组更明显(P<0.01);对照组、试验组降压总有效率分别为77.5%和90.0%,两组疗效有显著差异(P<0.01)。3.24h动态血压:治疗后组内比较,两组患者动态血压均较治疗前明显降低(P<0.01);治疗后组间比较,差异均有统计学意义(P<0.05)。4.中医症状单项积分:治疗后组内比较,试验组各中医症状单项积分均较治疗前显著降低(P<0.01);对照组在眩晕、头痛、头如裹、胸闷、呕吐痰涎、心悸方面较治疗前明显降低(P<0.01),在失眠、口淡、食少方面较治疗前差异无统计学意义(P>0.05)。治疗后组间比较,试验组在眩晕、头痛、头如裹、呕吐痰涎、失眠、口淡、食少方面疗效优于对照组(P<0.05),在胸闷、心悸方面,两组疗效无明显差异(P>0.05)。5.中医证候总积分:治疗后两组中医证候总积分较治疗前均显著降低(P<0.01),试验组下降较对照组更明显(P<0.01)。6.中医证候疗效:试验组和对照组总有效率分别为92.5%、70.0%,两组疗效有显著差异(P<0.01)。7.实验室指标:(1)血脂:治疗后组内比较,对照组血脂各项较治疗前差异无统计学意义(P>0.05),试验组TC、TG、LDL-C较治疗前均降低(P<0.05),HDL-C差异无统计学意义(P>0.05)。治疗后组间比较,TC、TG、LDL-C差异有统计学意义(P<0.05)。(2)HCY:治疗后组内比较,两组患者HCY较治疗前差异均无统计学意义(P>0.05)。治疗后组间比较,差异无统计学意义(P>0.05)。(3)CRP:治疗后组内比较,两组CRP水平均较治疗前明显降低(P<0.01)。治疗后组间比较,差异有统计学意义(P<0.05)。(4)UA:治疗后组内比较,对照组UA水平较治疗前差异无统计学意义(P>0.05),试验组UA水平较治疗前明显降低(P<0.01)。治疗后组间比较,差异有统计学意义(P<0.05)。8.超声心动图指标:治疗后,两组患者LVEDD、LVPWT、IVST水平较治疗前差异无统计学意义(P>0.05),两组疗效差异无统计学意义(P>0.05)。9.安全性评价:治疗前两组患者肝功能、肾功能无明显异常。治疗后进行组内比较,两组患者AST、ALT、UREA、CREA水平较治疗前差异均无统计学意义(P>0.05)。两组患者治疗前后生命体征、血常规、二便常规及心电图,亦无明显异常变化,治疗期间无明显不良反应。结论:李东垣半夏白术天麻汤联合苯磺酸氨氯地平片能更好地降低原发性高血压(痰浊上扰证)患者的血压、血脂、CRP及尿酸水平,明显改善临床症状,并且具有良好的安全性。	2023
硕士	李东垣治疗脾胃病的升降浮沉用药规律研究	曾倩伦	广州中医药大学	广州中医药大学	升降浮沉;;李东垣;;用药规律	目的: 李东垣十分重视人体气机的升降。脾胃是气机升降的枢纽,气机升降变化会影响到脏腑的生理功能,调理脾胃气机升降功能亦能调整全身脏腑的生理功能。所以当疾病发生的时候,以升降浮沉用药法调整脾胃气机升降失常,能够达到调治五脏六腑,使其恢复正常生理功能的目的。李东垣在治疗用药上很重视升降浮沉之法,他的升降浮沉用药法对后世医极有指导意义。本文通过研究李东垣于《脾胃论》及《内外伤辨惑论》所记载方剂的升降浮沉用药规律,寻求李东垣的用药规律和特点,从李东垣的升降浮沉用药思想的角度出发,探讨李东垣治疗用药特点和依据,为以后研究升降浮沉用药法的学者提供参考。 方法: 本课题研究《脾胃论》和《内外伤辨惑论》里面的方药,根据张元素《医学启源·药类法象》里对药物升降浮沉的划分进行分类,将药物分成升、降、浮、沉、可升可降5组。利用MicrosoftExcel统计总药物使用频次以及各分组药物使用的频次,比较各分组的药物使用量,分析各分组里使用频次最高的三个药物于其所在药方里的作用、配伍和使用原因。另外,使用Apriori算法对方药进行关联规则分析,并对使用频率≥20次的药物进行聚类分析,分析药物配伍与作用。 结果: 《脾胃论》和《内外伤辨惑论》记载了 100条方药,共有868频次的药物,对这868频次的药物进行分类、统计和比较,结果显示,在升、降、浮、沉、可升可降5组里面,李东垣使用可升可降组的药物频次最多,出现了 333次,占总体38.36%,使用沉类药的频次最少,只有88频次,占10.14%,两组的药物使用频次接近有四倍的差异;浮药组和升药组的使用频次颇为接近,前者有152频次,后者共有150频次,分别占总体17.51%和17.28%;降药组的药物共出现145频次,有16.71%。此外,在99首方药里,人参的使用频次最高,出现了 42次;其次是陈皮,出现了 40次;第三是白术,出现了 38次,这三味药都是双向趋向组的药物。聚类分析结果反映李东垣治疗脾胃内伤诸证用药时主要以健脾升阳,利水燥湿为主。关联分析结果显示:柴胡-羌活-升麻、陈皮-半夏-柴胡、升麻-苍术-柴胡、陈皮-人参-泽泻、人参-白术-黄芪、黄芪-陈皮-当归-升麻、黄芪-陈皮-当归-人参配伍使用较常见。 结论: 李东垣方药组成里面使用较多的是可升可降药,其方药里面所使用的可升可降类药大多都是性味甘温的药物,可升可降药的药物可以根据与其配伍的药物之趋向性改变自身的升降;方药组成里面使用最少的是沉药,沉药的药物大多是苦寒药,常用于清热泄热。李东垣《脾胃论》和《内外伤辨惑论》里记载的方剂主要是治疗脾胃病的,在治疗上多用甘温药温补脾胃,益气健脾,以辛散之风药升发清阳,以甘淡味降药利水渗湿,李东垣认为脾胃虚弱之病其病机是阳气不足,阴盛乘阳,所以用药时少用苦寒之沉药。	2023
硕士	李东垣对张仲景脾胃学术思想的继承与发展	赵桂丽	长春中医药大学	长春中医药大学	伤寒论;;金匮要略;;脾胃学说;;脾胃论;;李东垣	目的:系统梳理张仲景、李东垣的脾胃学术思想,总结张仲景、李东垣在脾胃疾病辨证治疗中的方药规律,理清李东垣对张仲景脾胃学术思想的继承与发展关系,为临床脾胃疾病的治疗提供理论指导。方法:以文献梳理的方式,对张仲景《伤寒论》《金匮要略》和李东垣《脾胃论》《内外伤辨惑论》进行系统分析、梳理,总结其中的脾胃学术思想。将张仲景、李东垣学术思想对照、分析,理清李东垣对张仲景脾胃学术思想的继承与发展关系。结果:张仲景将脾胃学术思想贯穿于外感伤寒和内伤杂病的诊疗始终,李东垣在继承张仲景脾胃学术思想的基础上,结合当时疾病特点进一步发展了脾胃理论,最终成为一代补土宗师。结论:李东垣对张仲景脾胃学术思想的继承与关系主要体现在四方面1、李东垣继承了张仲景鉴别内伤、外感的学术思想,并发展出12种内伤、外感的鉴别方法。2、李东垣继承了张仲景“重胃气”的学术思想,在“重胃气”的基础上提出“内伤脾胃、百病由生”和“阴火”的学术理论。3、李东垣继承了张仲景的脾胃升降理论,并结合当时疾病脾胃疾病的特点,提出了升脾阳与降阴火的学术理论,在用药上善用风药升脾阳以降阴火。4、李东垣在继承张仲景甘温补脾建中的基础上提出甘温除热、升阳益气、直泻阴火的治疗大法,并创立了众多传世名方。	2023
硕士	李东垣对《黄帝内经》形神观的继承发展研究	邱丽颖	北京中医药大学	北京中医药大学	黄帝内经;;李东垣;;脾胃观;;情志理论;;形神观	目的:本研究着眼于《黄帝内经》(下文简称为《内经》)及李东垣的形神观,通过对二者内涵的探讨,总结李氏对《内经》形神观的继承发展,以儿童抽动障碍(中医病名:小儿慢惊风)为例探讨形神相关疾病的论治,以期对中医形神理论研究及形神相关疾病的临床诊治有所裨益。方法:本研究以文献研究为主,结合知识图谱的可视化展示及中药处方的数据挖掘,探讨形神理论的内涵及应用。结果:(1)从《内经》形神观研究中可以得出,《内经》持形气具而神生的观点,血与气为神存之基础,五脏之气已具而生喜怒悲忧恐。同时,《内经》的重神思想在养生与疾病防治中得以体现,认为神主宰形气。在人体脏腑之中,脾胃为仓廪之本,五脏者禀气于胃,脾胃亦受神之主宰,情志失常则脾胃功能失调。(2)从李东垣形神观研究中可以得出,李东垣着眼于饮食、劳役两大发病因素,从内伤脾胃出发,认为脾胃为元气之本,脾胃内伤,则元气亏虚,精神不足,确立了气为形、神之根蒂的形神观,通过调气以调理形神。受气一元论及当时战争环境的影响,李氏尤其重视元气的作用,将气火失调作为发病的重要机制,提出阴火理论,阴火实为内伤之火,由阴血、元气亏耗所致。(3)在李氏对于《内经》形神观的继承发展的探讨中,可以得出李氏引用《内经·素问》篇章内容占《素问》全部篇章的45.68%,李氏引用《内经·灵枢》篇章内容占《灵枢》全部篇章的23.46%。通过具体分析其引用的条文,可以得出李氏继承了《内经》“重神”思想,认为养生贵在调神;继承《内经》的“重土”思想,进一步提出“百病皆从脾胃生”,治形尤重脾胃;李氏突出气在形神中的作用地位,完善了脾胃病治法,同时重视保养津液,认为津液为神存之基础,故在治疗中重视苦寒、甘寒及酸收药物的使用以清除邪热。(4)在形神理论的临床应用中,李东垣从泻木补土、泻火补金论治小儿慢惊风,以固护脾土为根本,常用的药物有厚朴、黄连、陈皮、人参、柴胡、当归、茯苓、黄芪、麻黄、神曲、升麻。用药四气以温、寒、平为主,五味以辛、苦、甘为主,归经以脾、胃、肺为主。李立新教授在继承李东垣补益虚损,固护脾胃思想的同时,重视调养心神,补益肝肾,常用药物有桑螵蛸、益智仁、白芍、石决明、菊花、钩藤、蝉蜕、僵蚕、石菖蒲、远志、清半夏、瓜蒌、郁金、佛手、柴胡、川芎、伸筋草、当归、丹参。用药四气以寒、温、平为主,五味以辛、苦、甘为主,归经以肝、肺为主。研究结论:本研究立足形神观,通过对李东垣形神观展开深入剖析,明确其对《内经》形神观的继承发挥,对中医理论创新研究具有一定借鉴意义。自《内经》起就确立了形气神三位一体的形神观,李东垣在继承《内经》形神观的基础上进一步提出“气为形神之根蒂”,由此对脾胃、元气理论进行深入阐发,进而提出脾胃学说,促进了中医理论的创新。临床研究部分以儿童抽动障碍(中医病名:小儿慢惊风)为例对形神相关疾病展开探讨,可为临床治疗此类疾病提供思路参考。基于李东垣治疗经验总结及名老中医处方数据挖掘可以得出,在形神相关疾病的临床诊治中,李东垣注重调理脾胃,尤以调气为要,当代医家李立新继承了李东垣的固护脾胃思想,注重调理心神,补益肝肾,发展了对于形神疾病的论治。因此,在临床诊疗中应运用好中医形神理论,调神为先,调气为要,调形为本,将调形、调气、调神贯穿治疗始终。	2023
硕士	基于《脾胃论》从阴火学说研究李东垣治疗脾胃病的用药组方规律研究	王舒萍	广西中医药大学	广西中医药大学	李东垣;;《脾胃论》;;阴火;;古今医案云平台;;脾胃病;;用药组方规律	目的:《脾胃论》是李杲创建脾胃学说的代表医著。李氏独具一格的脾胃观,正体现了“治病求本,本在脾胃”的理念。《脾胃论》全面阐述了“脾胃学说”的学术思想及“阴火学说”,以及“甘温除大热”的治疗方法,他的理念不仅仅为中医脏腑辩证系统增添了新的内涵,还为预防及治疗脾胃病创造了新的见解。本文拟从李东垣的著作《脾胃论》文献资料入手,采用古今医案云平台系统,通过分析用药频次、四气、五味、归经,通过聚类分析、复杂网络分析及药物关联分析等,探索李东垣治疗脾胃病基本学术思想,及其用药规律和组方特点,期望能对中医阴火论治脾胃病在科研探讨与指导临床方面提供新思路与新认识。方法:目前,数据挖掘是一种从海量的数据中挖掘隐藏在文献中潜在的有用的信息和知识的先进技术。在现代数据挖掘技术的支持下,对该书所录方剂作了数据统计和分析,由此可以归纳名老中医的学术经验,这一途径已成为中医药继承和创新中的一个重要环节。本研究基于古今医案云平台系统对李东垣从阴火学说治疗脾胃病的临床处方进行数据挖掘。通过收集李东垣所著《脾胃论》符合纳入标准的方剂,使用古今医案云平台系统进行数据挖掘,利用平台通过对用药频次、四气、五味、归经,及统计分析、聚类分析、复杂网络分析及药物关联分析等数据挖掘方法,以阴火学说为切入点,分析总结李东垣脾胃病临床经验,进而对现代中医药在脾胃病治疗中提供了一个全新的视角和认识。结果:1.收集李东垣著作《脾胃论》治疗脾胃病统计处方53首,通过对这些方剂进行统计分析,涉及中药87味,由此分析结果可知,其中使用频次最高的是人参,其次为陈皮、甘草、白术、升麻、黄芪、柴胡、当归、茯苓、炙甘草等;在药物的四气、五味及归经方面,以温类、辛味及归脾经的药物为主。2.众所周知,李东垣用药主要为草本类植物,对统计结果可知,按照功效进行归类,主要有清热药,补虚药,解表药,理气药,化痰止咳平喘药;并从药性的统计分析得知,使用频率最高是以温性药物居多;且药味上,以辛味为主,甘味为辅,苦味药物位居前三位;从药物归经方面看,又主要集中于脾,肺,胃经。3.基于关联规则分析结果,药物关联度较高的对药有:(1)人参-陈皮;(2)陈皮-人参;(3)黄芪-人参;(4)甘草-人参;(5)白术-人参;(6)甘草-陈皮;(7)升麻-柴胡;(8)柴胡-升麻;(9)陈皮-甘草;(10)陈皮-黄芪;(11)黄芪-陈皮;(12)升麻-甘草;(13)升麻-陈皮;(14)茯苓-白术;(15)升麻-人参;(16)柴胡-人参;(17)柴胡-陈皮;(18)黄芪-甘草;(19)当归-黄芪;(20)柴胡-甘草;(21)苍术-升麻;(22)苍术-陈皮;(23)黄柏-升麻;(24)炙甘草-人参;(25)当归-人参;(26)当归-升麻;(27)柴胡-黄芪。4.基于聚类分析方剂组方规律来看,可以把列入规范的方剂的中药划分为下列3组,具体的分组如下:第1组:白术、茯苓。第2组:当归、炙甘草。第3组:柴胡、升麻、甘草、黄芪、人参、陈皮。基于复杂网络分析结果,所得的核心方药有:陈皮、人参、黄芪、甘草、白术、柴胡、升麻。结论:基于初步分析李东垣用药组方规律研究,可得出以下结果:1.首先,通过文献研究结果证实,李东垣善于从脾胃论治疾病,尤其重视顾护胃气,并且特别注重脾胃肺三脏的同调,在“内伤脾胃,百病皆生”的思想理论下,李东垣在用药方面具有甘平温补的特点,其类药物不仅具能够补气升阳,并且能散其郁火,常配以辛散之品合用,辛甘合用可达到“辛甘化阳”之功效,使补而不过,相反相成;但同时并不拒绝使用苦寒之药,在经过相应的炮制手法减轻了药物的苦寒之性,并通过灵活调节药物的配伍及剂量,在除热的同时兼顾了脾胃之本。2.李东垣用药时喜用辛温类药物,这类药大多具有宣散祛邪以固表、升阳祛风、散熄阴火、平熄内风、恢复气机正常运转的功效,不仅可升脾气,还可使得肾气升发,并受其师张元素影响下,李东垣将这一列药物规划为“风药”,并且在脾胃疾病的治疗中得以灵活使用。3.阴火的治疗当用以补脾胃、升清阳、调升降为大法,首先,善以辛甘温之剂补益脾胃、升其脾阳,甘寒之剂泻其阴火,即“甘温除热”法;其次,随阴火越发亢盛,则配以泻火药进行加减,使得阴火之邪得以压制,即“益气升阳,泻阴火”。当元气不足,清阳不升,并且浊阴不降时,李东垣在遣方用药时善用调畅升降法,升清降浊同时施用。根据病机演变过程、湿热程度等随症加减用药。本文归纳了李东垣由阴火学说论治脾胃病之用药法则,阐述了李氏在治疗脾胃病的主要学术思想,从而丰富中医药诊治脾胃病的理论体系,继承与发展了李东垣的学术思想,并且在临床应用方面提供了强有力的科学依据。	2023
硕士	李东垣“阴火”理论及其在现代糖尿病辨治的应用研究	廖思琴	浙江中医药大学	浙江中医药大学	李东垣;;脾胃学说;;阴火理论;;糖尿病;;临床应用;;证型分布;;用药规律	目的系统梳理李东垣“阴火”理论的学术思想,整理归纳该学术思想在糖尿病中的临证应用特点,揭示“阴火”理论的结构和脉络,及该领域的研究现状与临床应用的发展进程。同时分析李东垣“阴火”理论辨治糖尿病的证型分布情况和遣方用药规律,总结用药经验及探讨新方临证,丰富和完善“阴火”理论对糖尿病的临床应用指导。方法1.以传统文献学研究法,梳理“阴火”理论的溯源、具体含义,查阅李东垣著作可知主要以《黄帝内经》《难经》《伤寒论》《素问玄机原病式》为对象;2.以整理归纳法,系统研究李东垣的《内外伤辨惑论》《脾胃论》《兰室秘藏》《医学发明》《东垣试效方》《珍珠囊补遗药性赋》《活法机要》《用药心法》,归纳出著作中具有代表性论治“阴火”的治法方药特色;3.以数据分析法,选取中国知网、中医古籍文献数据库、读秀、中国生物医学文献服务系统等以“阴火”论治糖尿病的现代医案为主要研究对象,分析从“阴火”论治糖尿病证型及用药规律;4.总结分析法系统总结阴火理论下糖尿病辨治的继承与创新之处。结果基于文献分析,对李东垣个人学术思想加以理解,结合病因病机可知,“阴火”是内外因素致脾胃气虚,中气下陷,若水湿下注,谷气下流肝肾,阴火乘其土位,则形成“下焦包络之火”的“相火”。若清阳不升,心肺无法滋养,气血不荣,血中伏火,煎熬阴血,形成心不主令,相火代之的“心火”。共为“火与元气不两立,一胜则一负”的理念。基于数据分析对文献中症状、归纳出的证型、处方用药进行统计和分析,收录方剂138首,中药数162味。1.处方138首中,共有193个症状,其中高频症状34个,以神疲乏力最多,最终归纳出5种证型。2.162味中药中,用药频次1482次,其中高频药物21味,以黄芪最多。3.药物类别有17种,以补虚类、解表类、清热类、活血化瘀类最多,使用频数达100次以上,占据总频率66.68%。4.四气主要以温、寒、平为主,频次达200次以上。尤其是温性药频率达46.45%。五味主要以甘、苦、辛为主,频次达500次以上。其中,甘味药频率达40.89%。归经分布以脾经最多,其次是肺、肝。胃经,已达500次以上。5.进行高频药物组合关联分析,关联性较高的是黄芪、白术、陈皮、升麻、当归、柴胡、党参、甘草。6.将34个高频核心条目进行聚类分析,分为5类。(1)麦冬、五味子、葛根、黄柏、苍术、泽泻、黄芩、石膏、黄连、生地黄、天花粉、知母、太子参。(2)茯苓、山药、白术、陈皮、党参、柴胡、升麻、甘草。(3)羌活、独活、防风、半夏、白芍、鸡血藤、人参(4)川芎、三七、丹参、水蛭(5)黄芪、当归。并将(1)、(2)、(3)归纳成新组合一,(4)、(5)归纳成新组合二。7.结合上文的证型,绘制成“证-症-药”关联分析表。支持度与置信度越高,则反映关联分析可信度越高意义越大。最后基于“阴火”理论辨治糖尿病的病因病机分析“证-症-药”思路。结论本研究以“阴火”理论入手,了解了整个庞大的脾胃系统,重点论述了对阴火具有代表性的治法方药,并按照对“阴火”理论的理解加以方剂归类,并从症、证、药的分布情况及使用特点更好的反应了各个方药,以证、药、方出发深入剖析“阴火”理论治糖尿病的用药规律进行系统阐述。	2023
硕士	张仲景与金元四大家疾病认知的比较研究	唐瑞	北京中医药大学	北京中医药大学	比较异同;;疾病认知;;金元四大家;;张仲景	张仲景是我国东汉末年著名医学家,被后人尊称为“医圣”。张仲景勤求古训,博采众方,撰写了传世巨作《伤寒论》与《金匮要略》。对于张仲景学术思想的研究,后世医家勤学不辍,成果丰富。本文依托张仲景的著作,从张仲景对疾病认知的六个角度入手,分析张仲景的学术思想。再结合时代背景,比较张仲景与金元四大家对疾病认知的异同。通过比较研究,分析其异同点产生的内在原因,厘清张仲景的学术思想及金元四大家对张仲景学术思想的继承与发扬。全文从六个角度分析张仲景与金元四大家对疾病的认知:外感与内伤、伤寒与非寒、温热与无热、六经与脏腑、本病与坏病以及气分与水分。第一部分,介绍张仲景与金元四大家以及医家所处时代背景,以期为比较张仲景与金元四大家疾病认知提供线索。第二部分,介绍六个中医疾病认知要点,厘清六个要点之间的逻辑关系,分别为外感与内伤、伤寒与非寒、温热与无热、六经与脏腑、本病与坏病以及气分与水分。外感与内伤为最基本的疾病认知要点。外感病中首分病因,伤寒占首要地位,从外感病引的具体病因引出伤寒与非寒这一疾病认知要点。从寒邪作为于人体的结果是否化热,引出温热与无热这一疾病认知要点。从表里的具体病位,引出六经与脏腑这一疾病认知要点。从疾病所属证候阶段,引出本病与坏病这一疾病认知要点。从疾病病位的深浅程度,引出气分与水分这一疾病认知要点。第三部分,具体论述张仲景与金元四大家对疾病要点的认知。从外感与内伤这一基本疾病分类方法,厘清张仲景外感病与内伤病的范畴。外感病病因多种多样,故外感病范围大于伤寒病,杂病中有非伤寒外感病,故杂病范围大于内伤病。李东垣对脾胃病的重视,实则是对张仲景脏腑病中内伤脾胃病的发扬与继承。从张仲景著作的原始结构入手,在张仲景著作的原始结构中,张仲景将伤寒病从其他疾病中独立出来。结合张仲景时代的气候条件,分析张仲景将伤寒病独立出来的原因与气温骤降导致伤寒病的高发有关。张仲景伤寒的本义为伤于寒邪,除开特殊群体的妇人病,病因为非伤寒的疾病则为杂病。刘完素、张从正以及朱丹溪对伤寒的认识与张仲景有所不同。在张仲景对《黄帝内经》与《难经》的继承这一基础上,探析张仲景广义伤寒病的亚型。其依据在于热之有无,中风为无热、伤寒为未热、温病为热郁以及热病为热越,体现了伤寒病感寒后寒郁化热的动态过程。刘完素作为“寒凉派”的代表人物,实则是重视伤寒病化热后的病机,在张仲景广义伤寒病的框架中,实则是属于温热病。从六经的时间空间特征,探析六经病表证的时空特征,太阳病表证显著而持久,阳明病表证典型但短暂,少阳病表证隐匿但持久,三阴病表证隐匿而短暂。当伤寒病不能在经络解决,则内传脏腑,此时六经病的概念则不再是重点,更多地是用脏腑辨证的方法,故六经病与脏腑病不能混称。朱丹溪多将六经与脏腑混称,李东垣重视脾胃的思想实则是对张仲景脾胃观的继承与发扬。从疾病的动态过程分析,表里两纲对于分析疾病当前所属证候阶段有有重要意义,故表证与外感病和六经病的疾病概念有所不同。伤寒病有在表在里证候的转化,伤寒本病由表入里的过程,伴随着伤寒坏病的产生。“伤寒中有杂病”这一观点,实则混淆了伤寒坏病与杂病。刘完素和张从正将表证里证与发表攻下的治法结合,实则是为了阻断疾病入里化热变生他疾。从气论自然观的角度,正确认识阴阳二气的平等地位。张仲景的医理框架为气形结合,阴阳二气为无形之气,精血津液为有形结构,二者本源均为气,故阴气与阴血概念并不等同。朱丹溪受理学思想的影响,认为“阳常有余,阴常不足”此“阴”为阴血,而非阴气。	2023
硕士	风药的理论梳理与创新	洪泓	辽宁中医药大学	辽宁中医药大学	法象风药;;风药;;张元素;;李东垣;;诸病源候论	风药的研究有重要的理论和临床价值。本文提出风药包括治风之药和法象风药两大类。治风之药强调药物需具有直接治风作用,包括祛除外风药和平熄内风药。法象风药是“象”风之药,普遍具有“升”“浮”之特性,是李东垣治疗内伤疾病的常用药。本文主要沿着治风之药和法象风药两条线索展开。治风之药部分主要论述风邪的特性和外风致病的特点。治风之药作用就是治风,只要厘清了风邪的性质,就理解了治风之药的特性。法象风药的论述重点将放在药性特点和使用依据上。围绕“味之薄者,阴中之阳,味薄则通,酸、苦、咸、平是也”展开讨论,最终分析总结出法象风药的性能特点。通过剖析李东垣治疗内伤疾病的病机依据,即“脾胃虚弱,阳气不能生长,是春夏之令不行,五脏之气不生”,总结其治疗特点、治法思路。本文主要参考《内经》《诸病源候论》《医学启源》《脾胃论》四部文献。引用《内经》的观点分析归纳风邪的性质。对风邪致病特点的归纳总结主要参考《诸病源候论》一书。关于法象风药的论述以及李东垣内伤疾病治疗思路的探析主要围绕《医学启源》和《脾胃论》的观点展开。论文分为四部分。第一部分简述不同学者对风药的认识,并提出将风药分为治风之药和法象风药的观点。第二部分论述治风之药:概述风邪的特点和外风的治法;简述《诸病源候论》论风的学术贡献,总结《诸病源候论》的论风特色;横向纵向归纳《诸病源候论》中风病的证候特征;遴选代表性方剂升降散、银翘散、桑菊饮、完带汤、薯蓣丸、槐花散、仙方活命饮、玉液汤,分析方中风药的作用以示例治风之药的应用。第三部分论述法象风药:简述法象风药的源流;剖析法象风药的药性特点;阐释李东垣治疗内伤疾病的病机依据和治法思路。第四部分基于学术思想的继承,陈述对于风药的认识。	2023
